username,sentiment,sentiment
WestPeg,Negative,100.0
Weston_Dickson,Positive,100.0
Wildbeans,Negative,100.0
Xenialshot,Negative,50.0
Xenialshot,Positive,50.0
ZN_007,Negative,100.0
_CDRC_,Negative,100.0
_Killion_,Positive,100.0
__JML__,Positive,100.0
__J__P__11,Negative,100.0
__sliceoflife__,Negative,100.0
_cDoVa,Positive,100.0
_danie_dl,Positive,100.0
_waingrow,Negative,100.0
acasarstyle,Positive,100.0
akirenaleri,Negative,100.0
alexdnc10,Negative,100.0
algoman2020,Negative,100.0
allisons_acct,Negative,100.0
amandarecupido,Negative,100.0
amrizzo28,Negative,75.0
amrizzo28,Positive,25.0
amywiest,Negative,100.0
andgegard,Negative,100.0
aw_stiles,Negative,100.0
baharris444,Negative,100.0
basili_debra,Positive,100.0
bestlotionsdeal,Negative,50.0
bestlotionsdeal,Positive,50.0
bill_wiesbach,Negative,100.0
birdmeow3,Positive,100.0
bivaughn,Positive,100.0
bman7777,Negative,100.0
bob_ivanoff,Positive,100.0
brownsfan204,Negative,100.0
brucekesselring,Negative,100.0
bullystyle311,Negative,71.42857142857143
bullystyle311,Positive,28.57142857142857
buzzflash,Negative,100.0
carolshappylife,Positive,100.0
cdawgindahouse,Negative,100.0
cer_hedge,Negative,100.0
cgwrenn,Positive,100.0
chat_t_cat,Negative,100.0
chicago_waves,Negative,100.0
chicagoterp,Negative,100.0
chimp_chimp1,Negative,53.57142857142857
chimp_chimp1,Positive,46.42857142857143
chrisv_20,Positive,66.66666666666666
chrisv_20,Negative,33.33333333333333
citizen_xoxo,Positive,100.0
coco_livi,Positive,100.0
cosmosbaby,Positive,100.0
creepyswagfest,Positive,100.0
crittersareodd,Negative,100.0
dalmatian4444,Negative,100.0
dana_manarchy,Positive,100.0
dangerlight550,Positive,100.0
dantagorda21,Positive,100.0
dark_doku,Negative,50.0
dark_doku,Positive,50.0
davesink,Positive,100.0
davidmb919,Positive,100.0
dbcomedychicago,Negative,100.0
dc_roark,Positive,100.0
defeatthedevil,Negative,62.06896551724138
defeatthedevil,Positive,37.93103448275862
