username,sentiment,sentiment
SLoopSince1997,Negative,100.0
SalvaDolly,Negative,100.0
Samstrosity,Positive,100.0
Samyann_Writer,Negative,50.0
Samyann_Writer,Positive,50.0
SapphicStalin,Positive,100.0
Schmutzie_,Negative,100.0
ScoopRocket,Positive,100.0
SenerIseinoski,Positive,100.0
SenfBrian,Negative,100.0
SeoulGii,Negative,100.0
ShackBiscuit,Positive,100.0
Shamrock93,Positive,100.0
ShannonAnnMAGA,Positive,100.0
Shawn_Foss,Positive,100.0
SherriHenry66,Negative,100.0
ShingoYoungstar,Negative,100.0
Simoveeeee,Negative,100.0
SirDennis,Positive,100.0
SkyFairlane,Negative,100.0
StarriderMedia,Negative,100.0
StephenMeadeLA,Positive,100.0
Stepheswifty13,Positive,100.0
SteveJohnsonMBA,Positive,100.0
StevenErick1976,Positive,75.0
StevenErick1976,Negative,25.0
SubZeroPoet,Positive,100.0
Supergirleileen,Negative,66.66666666666666
Supergirleileen,Positive,33.33333333333333
SuzanneLaBounty,Positive,100.0
TLOP312,Positive,100.0
TabithaOXO,Negative,100.0
TarvisMarmalade,Negative,100.0
TeachTimToTweet,Positive,100.0
TearieIs,Negative,100.0
That_seals_it,Negative,100.0
ThatsJacqueline,Positive,100.0
TheAndyBrown_75,Positive,100.0
TheRISEofROD,Positive,100.0
TheRealMKP357,Negative,100.0
TheWholeFnSh0w,Positive,100.0
Thegillman69,Negative,80.0
Thegillman69,Positive,20.0
ThonasWilliams,Negative,100.0
TomStephensChi,Positive,100.0
Tomko_1,Negative,66.66666666666666
Tomko_1,Positive,33.33333333333333
TonyU08283120,Negative,100.0
TonyaLockhart50,Negative,100.0
Transient_Soul,Positive,100.0
TrixordoChicago,Negative,50.0
TrixordoChicago,Positive,50.0
TrumpPatriotUS1,Positive,100.0
TuanisCacao,Positive,100.0
TweetsByTyler,Negative,100.0
UPGRAYDDD,Positive,100.0
Usorthem1,Positive,100.0
VJAdamBlack,Negative,100.0
Valerieblaise,Negative,100.0
VanAlan668,Negative,100.0
Veilside_Tony,Negative,50.0
Veilside_Tony,Positive,50.0
Victoria_Noe,Negative,100.0
VirgilThatcher,Negative,100.0
WGNRadioNews,Negative,100.0
WTHuston,Negative,100.0
WWG1WGAVoteRed,Negative,71.42857142857143
WWG1WGAVoteRed,Positive,28.57142857142857
WalshFreedom,Negative,100.0
Webmannis,Negative,100.0
WillieLangLang2,Negative,50.0
WillieLangLang2,Positive,50.0
WindyCityChik,Negative,100.0
Wrigley1332,Negative,100.0
ZorbasChicago,Negative,100.0
_ChicagoV_,Negative,100.0
__JML__,Positive,100.0
__J__P__11,Positive,100.0
_danie_dl,Negative,100.0
_ouipa_,Negative,100.0
aamer_jamil_rao,Positive,100.0
adjameson,Positive,100.0
aeronkomila,Negative,100.0
al_petrocelli,Negative,50.0
al_petrocelli,Positive,50.0
alexdnc10,Negative,50.0
alexdnc10,Positive,50.0
anders_z,Negative,100.0
anthonycdemaria,Negative,100.0
aria606,Positive,100.0
armueldo,Negative,100.0
ashypoet66,Positive,100.0
augustyn_jamie,Positive,100.0
babyof5,Negative,50.0
babyof5,Positive,50.0
baharris444,Negative,100.0
bcargerman,Negative,100.0
bearstown19,Positive,100.0
beeinchicago,Negative,100.0
beth4158,Positive,100.0
billslater,Negative,50.0
billslater,Positive,50.0
billv1976,Positive,100.0
birdmoney,Negative,50.0
birdmoney,Positive,50.0
blackbird9z,Negative,100.0
blissblar,Positive,100.0
bobbie_digital1,Positive,100.0
bobn1001,Positive,100.0
borrelli3,Positive,100.0
camryncarolinee,Negative,100.0
canman671,Negative,100.0
carlos88gasso,Positive,100.0
carolshappylife,Negative,66.66666666666666
carolshappylife,Positive,33.33333333333333
cbschicago,Positive,100.0
cecileshea,Positive,100.0
chadmd23,Positive,100.0
chaunceydevega,Negative,100.0
chefgaberosado,Negative,100.0
chgocrimenews,Negative,100.0
chicagostreetn1,Negative,100.0
chimp_chimp1,Positive,60.0
chimp_chimp1,Negative,40.0
chitowndi1,Positive,100.0
chunguspilled,Negative,100.0
chyllhollywood,Negative,50.0
chyllhollywood,Positive,50.0
citizen_xoxo,Positive,100.0
cjnitelife,Positive,100.0
clickforjustice,Negative,100.0
coachhalpin,Positive,100.0
comabali,Positive,100.0
cookerT,Negative,100.0
coopercarriger,Negative,100.0
cowards_are_us,Negative,50.0
cowards_are_us,Positive,50.0
craigmindrum,Positive,66.66666666666666
craigmindrum,Negative,33.33333333333333
crlbe,Positive,100.0
crookedchicago,Negative,100.0
crudfish44,Positive,100.0
dahleeah__,Negative,100.0
danman022,Negative,100.0
datagenius,Positive,100.0
dav1on,Negative,100.0
daverite,Negative,100.0
davesink,Positive,100.0
davidmb919,Negative,100.0
dbcomedychicago,Negative,50.0
dbcomedychicago,Positive,50.0
ddbrownradio,Negative,100.0
defeatthedevil,Positive,100.0
dennystan,Positive,100.0
dipschwantz,Negative,100.0
divakari6642,Negative,100.0
dkrom59,Positive,100.0
dm_cgo,Positive,100.0
drwpttr,Negative,100.0
eboniright,Positive,100.0
eddierios31,Negative,100.0
edwinhollins,Negative,50.0
edwinhollins,Positive,50.0
ellchicago,Positive,66.66666666666666
ellchicago,Negative,33.33333333333333
ellengunter,Positive,100.0
ericowensdc,Negative,100.0
esli85,Positive,100.0
fb_illini,Negative,100.0
fpbaker,Positive,100.0
geminimoon,Positive,100.0
genuine_rp,Positive,100.0
gfmack13,Positive,100.0
gilbertobm,Negative,100.0
gone_roguing,Negative,100.0
grammylinnie,Negative,100.0
greeks_4Trump,Positive,100.0
gribar,Positive,100.0
hamsIut,Positive,100.0
happy_skills,Positive,66.66666666666666
happy_skills,Negative,33.33333333333333
happydaymachine,Negative,50.0
happydaymachine,Positive,50.0
helenbinchy,Positive,100.0
herbakeet,Positive,100.0
heyjoshhaines,Positive,100.0
hillda70,Positive,100.0
hulcee,Negative,100.0
iamesahcedordev,Negative,100.0
ianamls,Positive,100.0
iblock9,Negative,100.0
idoheartfailure,Positive,100.0
ihave3angelz,Negative,100.0
imamasterdater,Negative,100.0
intemperatefuck,Negative,100.0
iorlandomoreno,Negative,100.0
iriskiss,Negative,100.0
itutoresl,Positive,100.0
iwonka045,Positive,100.0
jachulo,Negative,100.0
jameseoshea,Positive,100.0
jannabelle66,Negative,100.0
jbrady3,Positive,100.0
jjkard,Negative,100.0
jlanzmo,Positive,100.0
jlhudge,Negative,100.0
jmtryneski,Negative,100.0
joe_viba,Negative,100.0
joem135,Negative,100.0
joewabash,Positive,100.0
johnbergin777,Positive,100.0
johnroy5807,Negative,50.0
johnroy5807,Positive,50.0
johnwray,Negative,100.0
jokelley,Negative,100.0
jonathanfoiles,Negative,100.0
jonathanwthomas,Negative,50.0
jonathanwthomas,Positive,50.0
jonklemke,Negative,100.0
