date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-18 21:31:50,1962Excalibur,Rachel20450515,0,0,0,"the passage starting with in the flesh part 2 until the trial is all about modern day america. I’ve got some bad news for you sunshine pink isn’t well he stayed back at the hotel. They sent us along as a surrogate band...are there queers in the theater...up against the wall!",,,,1284601798968446977,https://twitter.com/1962Excalibur/status/1284601798968446977
2020-07-18 21:31:41,happy_skills,realDailyWire,0,0,0,"@SpeakerPelosi &amp; The Democrats are pissed @realDonaldTrump Is taking action against BLM &amp; Antifa. When these activists are tied to the Democratic Party, will @GOP make them pay?",,@SpeakerPelosi @realDonaldTrump @GOP,,1284601761383186432,https://twitter.com/happy_skills/status/1284601761383186432
2020-07-18 21:31:39,Valerieblaise,,0,0,3,"It didn't even take a full term for Trump to be enabled to order secret police kidnappings of American citizens on American soil.",,,,1284601754680725505,https://twitter.com/Valerieblaise/status/1284601754680725505
2020-07-18 21:31:27,KimKatzTalent,johncusack,0,0,3,"The problem with #civilwar is that peaceful protesters are not soldiers, working families are not soldiers. Trump is purposely attacking protesters in front of the White House &amp; in #Portland to show us all what will happen to our youth when they #revolt. #maim and #kill",,,#civilwar #Portland #revolt #maim #kill,1284601705406046214,https://twitter.com/KimKatzTalent/status/1284601705406046214
2020-07-18 21:31:13,Edzila,realDonaldTrump,0,0,1,"Hey Don, YOU’RE FIRED",,,,1284601645767294977,https://twitter.com/Edzila/status/1284601645767294977
2020-07-18 21:31:09,carolshappylife,sjdemas,0,0,2,"Trump slowing down testing. Now there are 85 infants under the age of 1 with covid. Texas",,,,1284601626414796800,https://twitter.com/carolshappylife/status/1284601626414796800
2020-07-18 21:31:03,MountainMike99,SethAbramson,0,0,0,"Donald Trump. Bringing jobs back to the USA through criminal negligent handling of corona virus. ",,,,1284601601748086784,https://twitter.com/MountainMike99/status/1284601601748086784
2020-07-18 21:30:52,Milfuegos,,0,0,0,"US: Racist Trump Sends Undercover Police to Quell Portland's Protests - https://go.shr.lc/3eJkFCR via @shareaholic",,@Shareaholic,,1284601557992919041,https://twitter.com/Milfuegos/status/1284601557992919041
2020-07-18 21:30:46,Lena_Couture,,1,0,0,"Why can’t we go back to having actual politicians a president. The same people who thought Trump running was a good idea think Kanye’s foolishness is smart.",,,,1284601529916370950,https://twitter.com/Lena_Couture/status/1284601529916370950
2020-07-18 21:30:24,SLoopSince1997,_MarcusD3_,0,0,0,"No lies told in this tweet",,,,1284601439617245185,https://twitter.com/SLoopSince1997/status/1284601439617245185
