username,sentiment,sentiment
SenoritaDua,Negative,100.0
SharonGaietto,Positive,100.0
SnakeFooley,Negative,100.0
SolidarityErvin,Positive,100.0
Solo25G,Negative,100.0
SouthSideKyle,Positive,100.0
SouthsideJake,Positive,100.0
SpiderKeithLutz,Negative,62.5
SpiderKeithLutz,Positive,37.5
SpookyTanuki,Negative,50.0
SpookyTanuki,Positive,50.0
StMalachySchool,Positive,100.0
Star_Tazzy,Negative,100.0
Steelho51,Positive,100.0
StevenGravesTV,Negative,66.66666666666666
StevenGravesTV,Positive,33.33333333333333
Susys,Positive,100.0
TGHTNTRL,Positive,100.0
ThatsRo_OnAir,Negative,100.0
TheFranchise08,Positive,100.0
TheJoycey,Negative,50.0
TheJoycey,Positive,50.0
ThePublicArena,Negative,100.0
TravelByBubble,Negative,100.0
TrendsChicago,Positive,100.0
Tribbzthecool,Negative,100.0
TrilliamClinton,Negative,100.0
TylerLaRiviere,Negative,100.0
UncannyAriel,Positive,62.5
UncannyAriel,Negative,37.5
UnderRadar,Positive,100.0
VexedAgain,Positive,100.0
VickVazq,Negative,100.0
WGNMorningNews,Negative,60.0
WGNMorningNews,Positive,40.0
WLimestall,Negative,100.0
Waldens_Block,Negative,100.0
WavyAvey,Positive,100.0
WeRocWhiteSox,Negative,100.0
WeekendGabe,Positive,100.0
WesleyAlford87,Positive,100.0
WoodlawnWonder,Negative,60.0
WoodlawnWonder,Positive,40.0
XaiverThaGreat1,Negative,100.0
Youshortashell,Negative,100.0
ZamZaddi,Negative,100.0
_CharlesPreston,Negative,66.66666666666666
_CharlesPreston,Positive,33.33333333333333
_Eric____,Negative,66.66666666666666
_Eric____,Positive,33.33333333333333
_HOTGOTH,Positive,100.0
_PrettyNe__,Negative,100.0
_SincerelyAshB,Negative,100.0
__YanYe__,Negative,100.0
_gladioli666,Negative,100.0
_glory_e,Negative,100.0
_parisimone,Positive,100.0
aduzik,Positive,100.0
aheartthROBB,Negative,100.0
alan_condon,Positive,100.0
alan_uplc,Negative,66.66666666666666
alan_uplc,Positive,33.33333333333333
alexnikxo,Negative,100.0
alvaYmarc,Positive,66.66666666666666
alvaYmarc,Negative,33.33333333333333
andrea9192,Negative,100.0
archchicago,Positive,100.0
aromanchi,Positive,100.0
arubenfire,Positive,100.0
aschmels,Positive,100.0
banoonoo,Positive,100.0
barstoolchicago,Positive,100.0
bdlatt,Negative,100.0
beanorita,Negative,100.0
benchsour,Positive,100.0
bibigomezx3,Positive,100.0
billslater,Positive,100.0
